"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-июль 2025 года)"
"36. Респ. Сев.Осетия - Алания","3_1","Число погибших на 100 пострадавших","6.12244898"
"37. Карачаево-Черкесская Респ.","3_1","Количество ДТП с пострадавшими",242
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, погибших в результате ДТП",38
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",311
"37. Карачаево-Черкесская Респ.","3_1","Число погибших на 100 пострадавших","10.88825215"
"38. Чеченская Республика","3_1","Количество ДТП с пострадавшими",76
"38. Чеченская Республика","3_1","Количество лиц, погибших в результате ДТП",24
"38. Чеченская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",107
"38. Чеченская Республика","3_1","Число погибших на 100 пострадавших","18.32061069"
"39. Южный фед.округ","3_1","Количество ДТП с пострадавшими",7707
"39. Южный фед.округ","3_1","Количество лиц, погибших в результате ДТП",1010
"39. Южный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",9443
"39. Южный фед.округ","3_1","Число погибших на 100 пострадавших","9.662297905"
"40. Краснодарский край","3_1","Количество ДТП с пострадавшими",3131
"40. Краснодарский край","3_1","Количество лиц, погибших в результате ДТП",386
"40. Краснодарский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3758
"40. Краснодарский край","3_1","Число погибших на 100 пострадавших","9.314671815"
"41. Астраханская область","3_1","Количество ДТП с пострадавшими",586
"41. Астраханская область","3_1","Количество лиц, погибших в результате ДТП",58
"41. Астраханская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",715
"41. Астраханская область","3_1","Число погибших на 100 пострадавших","7.503234153"
"42. Волгоградская область","3_1","Количество ДТП с пострадавшими",1244
"42. Волгоградская область","3_1","Количество лиц, погибших в результате ДТП",136
"42. Волгоградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1578
"42. Волгоградская область","3_1","Число погибших на 100 пострадавших","7.934655776"
"43. Ростовская область","3_1","Количество ДТП с пострадавшими",1428
"43. Ростовская область","3_1","Количество лиц, погибших в результате ДТП",237
"43. Ростовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1706
"43. Ростовская область","3_1","Число погибших на 100 пострадавших","12.19763253"
"44. Республика Адыгея","3_1","Количество ДТП с пострадавшими",213
