"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-февраль 2024 г.)"
"58. Саратовская область","3_1","Число погибших на 100 пострадавших","11,26760563"
"59. Ульяновская область","3_1","Количество ДТП с пострадавшими",132
"59. Ульяновская область","3_1","Количество лиц, погибших в результате ДТП",18
"59. Ульяновская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",175
"59. Ульяновская область","3_1","Число погибших на 100 пострадавших","9,32642487"
"Уральский фед.округ","3_1","Количество ДТП с пострадавшими",1460
"Уральский фед.округ","3_1","Количество лиц, погибших в результате ДТП",129
"Уральский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1973
"Уральский фед.округ","3_1","Число погибших на 100 пострадавших","6,137012369"
"60. Курганская область","3_1","Количество ДТП с пострадавшими",88
"60. Курганская область","3_1","Количество лиц, погибших в результате ДТП",11
"60. Курганская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",116
"60. Курганская область","3_1","Число погибших на 100 пострадавших","8,661417323"
"61. Свердловская область","3_1","Количество ДТП с пострадавшими",331
"61. Свердловская область","3_1","Количество лиц, погибших в результате ДТП",44
"61. Свердловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",451
"61. Свердловская область","3_1","Число погибших на 100 пострадавших","8,888888889"
"62. Тюменская область (с а/о)","3_1","Количество ДТП с пострадавшими",626
"62. Тюменская область (с а/о)","3_1","Количество лиц, погибших в результате ДТП",47
"62. Тюменская область (с а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",884
"62. Тюменская область (с а/о)","3_1","Число погибших на 100 пострадавших","5,048335124"
"63.   Тюменская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",396
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",28
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",555
"63.   Тюменская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","4,802744425"
"64.   Ханты-Мансийский АО - Югра","3_1","Количество ДТП с пострадавшими",192
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, погибших в результате ДТП",12
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, получивших ранения в результате совершения ДТП",281
"64.   Ханты-Мансийский АО - Югра","3_1","Число погибших на 100 пострадавших","4,09556314"
"65.   Ямало-Ненецкий АО","3_1","Количество ДТП с пострадавшими",38
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",7
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",48
"65.   Ямало-Ненецкий АО","3_1","Число погибших на 100 пострадавших","12,72727273"
"66. Челябинская область","3_1","Количество ДТП с пострадавшими",415
"66. Челябинская область","3_1","Количество лиц, погибших в результате ДТП",27
"66. Челябинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",522
"66. Челябинская область","3_1","Число погибших на 100 пострадавших","4,918032787"
"Сибирский фед.округ","3_1","Количество ДТП с пострадавшими",2081
"Сибирский фед.округ","3_1","Количество лиц, погибших в результате ДТП",188
"Сибирский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2722
"Сибирский фед.округ","3_1","Число погибших на 100 пострадавших","6,4604811"
"67. Республика Алтай","3_1","Количество ДТП с пострадавшими",38
"67. Республика Алтай","3_1","Количество лиц, погибших в результате ДТП",4
"67. Республика Алтай","3_1","Количество лиц, получивших ранения в результате совершения ДТП",54
"67. Республика Алтай","3_1","Число погибших на 100 пострадавших","6,896551724"
"69. Республика Тыва","3_1","Количество ДТП с пострадавшими",38
"69. Республика Тыва","3_1","Количество лиц, погибших в результате ДТП",5
"69. Республика Тыва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",59
"69. Республика Тыва","3_1","Число погибших на 100 пострадавших","7,8125"
"70. Республика Хакасия","3_1","Количество ДТП с пострадавшими",46
"70. Республика Хакасия","3_1","Количество лиц, погибших в результате ДТП",4
"70. Республика Хакасия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",63
"70. Республика Хакасия","3_1","Число погибших на 100 пострадавших","5,970149254"
"71. Алтайский край","3_1","Количество ДТП с пострадавшими",301
"71. Алтайский край","3_1","Количество лиц, погибших в результате ДТП",35
"71. Алтайский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",427
"71. Алтайский край","3_1","Число погибших на 100 пострадавших","7,575757576"
"72. Красноярский край","3_1","Количество ДТП с пострадавшими",354
"72. Красноярский край","3_1","Количество лиц, погибших в результате ДТП",27
"72. Красноярский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",454
"72. Красноярский край","3_1","Число погибших на 100 пострадавших","5,613305613"
"73. Иркутская область","3_1","Количество ДТП с пострадавшими",267
"73. Иркутская область","3_1","Количество лиц, погибших в результате ДТП",35
"73. Иркутская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",328
"73. Иркутская область","3_1","Число погибших на 100 пострадавших","9,641873278"
"74. Кемеровская область - Кузбасс","3_1","Количество ДТП с пострадавшими",310
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, погибших в результате ДТП",16
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, получивших ранения в результате совершения ДТП",410
"74. Кемеровская область - Кузбасс","3_1","Число погибших на 100 пострадавших","3,755868545"
"75. Новосибирская область","3_1","Количество ДТП с пострадавшими",299
"75. Новосибирская область","3_1","Количество лиц, погибших в результате ДТП",35
"75. Новосибирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",386
"75. Новосибирская область","3_1","Число погибших на 100 пострадавших","8,313539192"
"76. Омская область","3_1","Количество ДТП с пострадавшими",370
"76. Омская область","3_1","Количество лиц, погибших в результате ДТП",17
"76. Омская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",476
"76. Омская область","3_1","Число погибших на 100 пострадавших","3,448275862"
"77. Томская область","3_1","Количество ДТП с пострадавшими",58
"77. Томская область","3_1","Количество лиц, погибших в результате ДТП",10
"77. Томская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",65
"77. Томская область","3_1","Число погибших на 100 пострадавших","13,33333333"
"Дальневосточный фед.округ","3_1","Количество ДТП с пострадавшими",1041
"Дальневосточный фед.округ","3_1","Количество лиц, погибших в результате ДТП",135
"Дальневосточный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1347
"Дальневосточный фед.округ","3_1","Число погибших на 100 пострадавших","9,109311741"
"68. Республика Бурятия","3_1","Количество ДТП с пострадавшими",99
"68. Республика Бурятия","3_1","Количество лиц, погибших в результате ДТП",9
"68. Республика Бурятия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",140
"68. Республика Бурятия","3_1","Число погибших на 100 пострадавших","6,040268456"
"79. Республика Саха (Якутия)","3_1","Количество ДТП с пострадавшими",100
"79. Республика Саха (Якутия)","3_1","Количество лиц, погибших в результате ДТП",13
"79. Республика Саха (Якутия)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",128
"79. Республика Саха (Якутия)","3_1","Число погибших на 100 пострадавших","9,219858156"
"78. Забайкальский край","3_1","Количество ДТП с пострадавшими",85
"78. Забайкальский край","3_1","Количество лиц, погибших в результате ДТП",23
"78. Забайкальский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",91
"78. Забайкальский край","3_1","Число погибших на 100 пострадавших","20,1754386"
"80. Приморский край","3_1","Количество ДТП с пострадавшими",334
"80. Приморский край","3_1","Количество лиц, погибших в результате ДТП",45
"80. Приморский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",423
"80. Приморский край","3_1","Число погибших на 100 пострадавших","9,615384615"
"81. Хабаровский край","3_1","Количество ДТП с пострадавшими",151
"81. Хабаровский край","3_1","Количество лиц, погибших в результате ДТП",16
"81. Хабаровский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",190
"81. Хабаровский край","3_1","Число погибших на 100 пострадавших","7,766990291"
"82. Камчатский край","3_1","Количество ДТП с пострадавшими",59
"82. Камчатский край","3_1","Количество лиц, погибших в результате ДТП",2
"82. Камчатский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",80
"82. Камчатский край","3_1","Число погибших на 100 пострадавших","2,43902439"
"83. Амурская область","3_1","Количество ДТП с пострадавшими",139
"83. Амурская область","3_1","Количество лиц, погибших в результате ДТП",10
"83. Амурская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",197
"83. Амурская область","3_1","Число погибших на 100 пострадавших","4,830917874"
"84. Магаданская область","3_1","Количество ДТП с пострадавшими",17
"84. Магаданская область","3_1","Количество лиц, погибших в результате ДТП",0
"84. Магаданская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",27
"84. Магаданская область","3_1","Число погибших на 100 пострадавших",0
