"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-апрель 2025 г.)"
"27.   Ленинградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",500
"27.   Ленинградская область","3_1","Число погибших на 100 пострадавших","12,7399651"
"28.   г. Санкт-Петербург","3_1","Количество ДТП с пострадавшими",919
"28.   г. Санкт-Петербург","3_1","Количество лиц, погибших в результате ДТП",37
"28.   г. Санкт-Петербург","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1010
"28.   г. Санкт-Петербург","3_1","Число погибших на 100 пострадавших","3,533906399"
"29. Мурманская область","3_1","Количество ДТП с пострадавшими",173
"29. Мурманская область","3_1","Количество лиц, погибших в результате ДТП",14
"29. Мурманская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",241
"29. Мурманская область","3_1","Число погибших на 100 пострадавших","5,490196078"
"30. Новгородская  область","3_1","Количество ДТП с пострадавшими",149
"30. Новгородская  область","3_1","Количество лиц, погибших в результате ДТП",24
"30. Новгородская  область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",168
"30. Новгородская  область","3_1","Число погибших на 100 пострадавших","12,5"
"31. Псковская область","3_1","Количество ДТП с пострадавшими",171
"31. Псковская область","3_1","Количество лиц, погибших в результате ДТП",16
"31. Псковская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",225
"31. Псковская область","3_1","Число погибших на 100 пострадавших","6,639004149"
"Северо-Кавказский фед.округ","3_1","Количество ДТП с пострадавшими",1686
"Северо-Кавказский фед.округ","3_1","Количество лиц, погибших в результате ДТП",256
"Северо-Кавказский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2267
"Северо-Кавказский фед.округ","3_1","Число погибших на 100 пострадавших","10,14665081"
"32. Ставропольский край","3_1","Количество ДТП с пострадавшими",639
"32. Ставропольский край","3_1","Количество лиц, погибших в результате ДТП",85
"32. Ставропольский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",813
"32. Ставропольский край","3_1","Число погибших на 100 пострадавших","9,465478842"
"33. Республика Ингушетия","3_1","Количество ДТП с пострадавшими",78
"33. Республика Ингушетия","3_1","Количество лиц, погибших в результате ДТП",10
"33. Республика Ингушетия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",121
"33. Республика Ингушетия","3_1","Число погибших на 100 пострадавших","7,633587786"
"34. Республика Дагестан","3_1","Количество ДТП с пострадавшими",397
"34. Республика Дагестан","3_1","Количество лиц, погибших в результате ДТП",91
"34. Республика Дагестан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",555
"34. Республика Дагестан","3_1","Число погибших на 100 пострадавших","14,08668731"
"35. Кабардино-Балкарская Респ.","3_1","Количество ДТП с пострадавшими",169
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, погибших в результате ДТП",24
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",217
"35. Кабардино-Балкарская Респ.","3_1","Число погибших на 100 пострадавших","9,958506224"
"36. Респ. Сев.Осетия - Алания","3_1","Количество ДТП с пострадавшими",248
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, погибших в результате ДТП",15
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, получивших ранения в результате совершения ДТП",366
"36. Респ. Сев.Осетия - Алания","3_1","Число погибших на 100 пострадавших","3,937007874"
"37. Карачаево-Черкесская Респ.","3_1","Количество ДТП с пострадавшими",110
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, погибших в результате ДТП",19
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",138
"37. Карачаево-Черкесская Респ.","3_1","Число погибших на 100 пострадавших","12,10191083"
"38. Чеченская Республика","3_1","Количество ДТП с пострадавшими",45
"38. Чеченская Республика","3_1","Количество лиц, погибших в результате ДТП",12
"38. Чеченская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",57
"38. Чеченская Республика","3_1","Число погибших на 100 пострадавших","17,39130435"
"39. Южный фед.округ","3_1","Количество ДТП с пострадавшими",3750
"39. Южный фед.округ","3_1","Количество лиц, погибших в результате ДТП",498
"39. Южный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4674
"39. Южный фед.округ","3_1","Число погибших на 100 пострадавших","9,628770302"
"40. Краснодарский край","3_1","Количество ДТП с пострадавшими",1515
"40. Краснодарский край","3_1","Количество лиц, погибших в результате ДТП",212
"40. Краснодарский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1806
