"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-апрель 2024 г.)"
"31. Псковская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",253
"31. Псковская область","3_1","Число погибших на 100 пострадавших","10,28368794"
"Северо-Кавказский фед.округ","3_1","Количество ДТП с пострадавшими",1741
"Северо-Кавказский фед.округ","3_1","Количество лиц, погибших в результате ДТП",318
"Северо-Кавказский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2256
"Северо-Кавказский фед.округ","3_1","Число погибших на 100 пострадавших","12,35431235"
"32. Ставропольский край","3_1","Количество ДТП с пострадавшими",669
"32. Ставропольский край","3_1","Количество лиц, погибших в результате ДТП",108
"32. Ставропольский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",832
"32. Ставропольский край","3_1","Число погибших на 100 пострадавших","11,4893617"
"33. Республика Ингушетия","3_1","Количество ДТП с пострадавшими",46
"33. Республика Ингушетия","3_1","Количество лиц, погибших в результате ДТП",14
"33. Республика Ингушетия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",66
"33. Республика Ингушетия","3_1","Число погибших на 100 пострадавших","17,5"
"34. Республика Дагестан","3_1","Количество ДТП с пострадавшими",447
"34. Республика Дагестан","3_1","Количество лиц, погибших в результате ДТП",97
"34. Республика Дагестан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",622
"34. Республика Дагестан","3_1","Число погибших на 100 пострадавших","13,49095967"
"35. Кабардино-Балкарская Респ.","3_1","Количество ДТП с пострадавшими",209
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, погибших в результате ДТП",37
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",241
"35. Кабардино-Балкарская Респ.","3_1","Число погибших на 100 пострадавших","13,30935252"
"36. Респ. Сев.Осетия - Алания","3_1","Количество ДТП с пострадавшими",232
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, погибших в результате ДТП",19
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, получивших ранения в результате совершения ДТП",332
"36. Респ. Сев.Осетия - Алания","3_1","Число погибших на 100 пострадавших","5,413105413"
"37. Карачаево-Черкесская Респ.","3_1","Количество ДТП с пострадавшими",105
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, погибших в результате ДТП",31
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",126
"37. Карачаево-Черкесская Респ.","3_1","Число погибших на 100 пострадавших","19,74522293"
"38. Чеченская Республика","3_1","Количество ДТП с пострадавшими",33
"38. Чеченская Республика","3_1","Количество лиц, погибших в результате ДТП",12
"38. Чеченская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",37
"38. Чеченская Республика","3_1","Число погибших на 100 пострадавших","24,48979592"
"39. Южный фед.округ","3_1","Количество ДТП с пострадавшими",4105
"39. Южный фед.округ","3_1","Количество лиц, погибших в результате ДТП",555
"39. Южный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4993
"39. Южный фед.округ","3_1","Число погибших на 100 пострадавших","10,0036049"
"40. Краснодарский край","3_1","Количество ДТП с пострадавшими",1632
"40. Краснодарский край","3_1","Количество лиц, погибших в результате ДТП",224
"40. Краснодарский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1986
"40. Краснодарский край","3_1","Число погибших на 100 пострадавших","10,13574661"
"41. Астраханская область","3_1","Количество ДТП с пострадавшими",271
"41. Астраханская область","3_1","Количество лиц, погибших в результате ДТП",23
"41. Астраханская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",336
"41. Астраханская область","3_1","Число погибших на 100 пострадавших","6,406685237"
"42. Волгоградская область","3_1","Количество ДТП с пострадавшими",645
"42. Волгоградская область","3_1","Количество лиц, погибших в результате ДТП",59
"42. Волгоградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",830
"42. Волгоградская область","3_1","Число погибших на 100 пострадавших","6,636670416"
"43. Ростовская область","3_1","Количество ДТП с пострадавшими",786
"43. Ростовская область","3_1","Количество лиц, погибших в результате ДТП",144
"43. Ростовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",900
"43. Ростовская область","3_1","Число погибших на 100 пострадавших","13,79310345"
"44. Республика Адыгея","3_1","Количество ДТП с пострадавшими",112
"44. Республика Адыгея","3_1","Количество лиц, погибших в результате ДТП",26
"44. Республика Адыгея","3_1","Количество лиц, получивших ранения в результате совершения ДТП",125
"44. Республика Адыгея","3_1","Число погибших на 100 пострадавших","17,21854305"
"45. Республика Калмыкия","3_1","Количество ДТП с пострадавшими",173
"45. Республика Калмыкия","3_1","Количество лиц, погибших в результате ДТП",27
"45. Республика Калмыкия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",246
"45. Республика Калмыкия","3_1","Число погибших на 100 пострадавших","9,89010989"
"88. Республика Крым","3_1","Количество ДТП с пострадавшими",347
"88. Республика Крым","3_1","Количество лиц, погибших в результате ДТП",42
"88. Республика Крым","3_1","Количество лиц, получивших ранения в результате совершения ДТП",397
"88. Республика Крым","3_1","Число погибших на 100 пострадавших","9,567198178"
"89. г. Севастополь","3_1","Количество ДТП с пострадавшими",139
"89. г. Севастополь","3_1","Количество лиц, погибших в результате ДТП",10
"89. г. Севастополь","3_1","Количество лиц, получивших ранения в результате совершения ДТП",173
"89. г. Севастополь","3_1","Число погибших на 100 пострадавших","5,464480874"
"Приволжский фед.округ","3_1","Количество ДТП с пострадавшими",6716
"Приволжский фед.округ","3_1","Количество лиц, погибших в результате ДТП",741
"Приволжский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",8631
"Приволжский фед.округ","3_1","Число погибших на 100 пострадавших","7,90653009"
"46. Республика Башкортостан","3_1","Количество ДТП с пострадавшими",758
"46. Республика Башкортостан","3_1","Количество лиц, погибших в результате ДТП",105
