"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-октябрь 2024 г.)"
"39. Южный фед.округ","3_1","Количество ДТП с пострадавшими",12472
"39. Южный фед.округ","3_1","Количество лиц, погибших в результате ДТП",1687
"39. Южный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",15432
"39. Южный фед.округ","3_1","Число погибших на 100 пострадавших","9.854547579"
"40. Краснодарский край","3_1","Количество ДТП с пострадавшими",5050
"40. Краснодарский край","3_1","Количество лиц, погибших в результате ДТП",643
"40. Краснодарский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",6223
"40. Краснодарский край","3_1","Число погибших на 100 пострадавших","9.364986892"
"41. Астраханская область","3_1","Количество ДТП с пострадавшими",764
"41. Астраханская область","3_1","Количество лиц, погибших в результате ДТП",65
"41. Астраханская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",934
"41. Астраханская область","3_1","Число погибших на 100 пострадавших","6.506506507"
"42. Волгоградская область","3_1","Количество ДТП с пострадавшими",2029
"42. Волгоградская область","3_1","Количество лиц, погибших в результате ДТП",216
"42. Волгоградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2638
"42. Волгоградская область","3_1","Число погибших на 100 пострадавших","7.568325158"
"43. Ростовская область","3_1","Количество ДТП с пострадавшими",2333
"43. Ростовская область","3_1","Количество лиц, погибших в результате ДТП",422
"43. Ростовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2787
"43. Ростовская область","3_1","Число погибших на 100 пострадавших","13.15051418"
"44. Республика Адыгея","3_1","Количество ДТП с пострадавшими",376
"44. Республика Адыгея","3_1","Количество лиц, погибших в результате ДТП",68
"44. Республика Адыгея","3_1","Количество лиц, получивших ранения в результате совершения ДТП",427
"44. Республика Адыгея","3_1","Число погибших на 100 пострадавших","13.73737374"
"45. Республика Калмыкия","3_1","Количество ДТП с пострадавшими",483
"45. Республика Калмыкия","3_1","Количество лиц, погибших в результате ДТП",81
"45. Республика Калмыкия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",701
"45. Республика Калмыкия","3_1","Число погибших на 100 пострадавших","10.35805627"
"88. Республика Крым","3_1","Количество ДТП с пострадавшими",1057
"88. Республика Крым","3_1","Количество лиц, погибших в результате ДТП",171
"88. Республика Крым","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1262
"88. Республика Крым","3_1","Число погибших на 100 пострадавших","11.93300768"
"89. г. Севастополь","3_1","Количество ДТП с пострадавшими",380
"89. г. Севастополь","3_1","Количество лиц, погибших в результате ДТП",21
"89. г. Севастополь","3_1","Количество лиц, получивших ранения в результате совершения ДТП",460
"89. г. Севастополь","3_1","Число погибших на 100 пострадавших","4.365904366"
"Приволжский фед.округ","3_1","Количество ДТП с пострадавшими",22450
"Приволжский фед.округ","3_1","Количество лиц, погибших в результате ДТП",2359
"Приволжский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",28298
"Приволжский фед.округ","3_1","Число погибших на 100 пострадавших","7.694816844"
"46. Республика Башкортостан","3_1","Количество ДТП с пострадавшими",2431
"46. Республика Башкортостан","3_1","Количество лиц, погибших в результате ДТП",330
"46. Республика Башкортостан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2967
"46. Республика Башкортостан","3_1","Число погибших на 100 пострадавших","10.00909918"
"47. Республика Марий Эл","3_1","Количество ДТП с пострадавшими",610
"47. Республика Марий Эл","3_1","Количество лиц, погибших в результате ДТП",74
"47. Республика Марий Эл","3_1","Количество лиц, получивших ранения в результате совершения ДТП",787
"47. Республика Марий Эл","3_1","Число погибших на 100 пострадавших","8.594657375"
"48. Республика Мордовия","3_1","Количество ДТП с пострадавшими",504
"48. Республика Мордовия","3_1","Количество лиц, погибших в результате ДТП",72
"48. Республика Мордовия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",640
"48. Республика Мордовия","3_1","Число погибших на 100 пострадавших","10.11235955"
"49. Республика Татарстан","3_1","Количество ДТП с пострадавшими",2657
"49. Республика Татарстан","3_1","Количество лиц, погибших в результате ДТП",260
"49. Республика Татарстан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3223
"49. Республика Татарстан","3_1","Число погибших на 100 пострадавших","7.46482917"
"50. Удмуртская Республика","3_1","Количество ДТП с пострадавшими",1134
"50. Удмуртская Республика","3_1","Количество лиц, погибших в результате ДТП",109
"50. Удмуртская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1357
"50. Удмуртская Республика","3_1","Число погибших на 100 пострадавших","7.435197817"
"51. Чувашская Республика","3_1","Количество ДТП с пострадавшими",671
"51. Чувашская Республика","3_1","Количество лиц, погибших в результате ДТП",89
"51. Чувашская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",858
"51. Чувашская Республика","3_1","Число погибших на 100 пострадавших","9.398099261"
"52. Кировская область","3_1","Количество ДТП с пострадавшими",1350
"52. Кировская область","3_1","Количество лиц, погибших в результате ДТП",96
"52. Кировская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1651
"52. Кировская область","3_1","Число погибших на 100 пострадавших","5.495134516"
"53. Нижегородская область","3_1","Количество ДТП с пострадавшими",3814
"53. Нижегородская область","3_1","Количество лиц, погибших в результате ДТП",266
"53. Нижегородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4804
"53. Нижегородская область","3_1","Число погибших на 100 пострадавших","5.246548323"
"54. Оренбургская область","3_1","Количество ДТП с пострадавшими",1022
"54. Оренбургская область","3_1","Количество лиц, погибших в результате ДТП",191
"54. Оренбургская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1271
"54. Оренбургская область","3_1","Число погибших на 100 пострадавших","13.06429549"
"55. Пензенская область","3_1","Количество ДТП с пострадавшими",1318
"55. Пензенская область","3_1","Количество лиц, погибших в результате ДТП",153
"55. Пензенская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1800
"55. Пензенская область","3_1","Число погибших на 100 пострадавших","7.834101382"
"56. Пермский край","3_1","Количество ДТП с пострадавшими",1653
"56. Пермский край","3_1","Количество лиц, погибших в результате ДТП",173
"56. Пермский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2056
"56. Пермский край","3_1","Число погибших на 100 пострадавших","7.76132795"
"57. Самарская область","3_1","Количество ДТП с пострадавшими",2449
"57. Самарская область","3_1","Количество лиц, погибших в результате ДТП",255
"57. Самарская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3157
"57. Самарская область","3_1","Число погибших на 100 пострадавших","7.473622509"
"58. Саратовская область","3_1","Количество ДТП с пострадавшими",2079
"58. Саратовская область","3_1","Количество лиц, погибших в результате ДТП",213
"58. Саратовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2689
"58. Саратовская область","3_1","Число погибших на 100 пострадавших","7.339765679"
"59. Ульяновская область","3_1","Количество ДТП с пострадавшими",758
"59. Ульяновская область","3_1","Количество лиц, погибших в результате ДТП",78
"59. Ульяновская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1038
"59. Ульяновская область","3_1","Число погибших на 100 пострадавших","6.989247312"
"Уральский фед.округ","3_1","Количество ДТП с пострадавшими",9380
"Уральский фед.округ","3_1","Количество лиц, погибших в результате ДТП",888
"Уральский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",11792
"Уральский фед.округ","3_1","Число погибших на 100 пострадавших","7.003154574"
"60. Курганская область","3_1","Количество ДТП с пострадавшими",639
"60. Курганская область","3_1","Количество лиц, погибших в результате ДТП",88
"60. Курганская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",765
"60. Курганская область","3_1","Число погибших на 100 пострадавших","10.31652989"
"61. Свердловская область","3_1","Количество ДТП с пострадавшими",2303
"61. Свердловская область","3_1","Количество лиц, погибших в результате ДТП",260
"61. Свердловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2844
"61. Свердловская область","3_1","Число погибших на 100 пострадавших","8.37628866"
"62. Тюменская область (с а/о)","3_1","Количество ДТП с пострадавшими",3602
"62. Тюменская область (с а/о)","3_1","Количество лиц, погибших в результате ДТП",258
"62. Тюменская область (с а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4707
"62. Тюменская область (с а/о)","3_1","Число погибших на 100 пострадавших","5.196374622"
"63.   Тюменская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",2428
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",146
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3128
"63.   Тюменская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","4.459376909"
"64.   Ханты-Мансийский АО - Югра","3_1","Количество ДТП с пострадавшими",926
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, погибших в результате ДТП",85
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1295
"64.   Ханты-Мансийский АО - Югра","3_1","Число погибших на 100 пострадавших","6.15942029"
"65.   Ямало-Ненецкий АО","3_1","Количество ДТП с пострадавшими",248
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",27
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",284
"65.   Ямало-Ненецкий АО","3_1","Число погибших на 100 пострадавших","8.681672026"
"66. Челябинская область","3_1","Количество ДТП с пострадавшими",2836
"66. Челябинская область","3_1","Количество лиц, погибших в результате ДТП",282
"66. Челябинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3476
"66. Челябинская область","3_1","Число погибших на 100 пострадавших","7.503991485"
"Сибирский фед.округ","3_1","Количество ДТП с пострадавшими",14191
"Сибирский фед.округ","3_1","Количество лиц, погибших в результате ДТП",1454
"Сибирский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",17655
"Сибирский фед.округ","3_1","Число погибших на 100 пострадавших","7.608980062"
"67. Республика Алтай","3_1","Количество ДТП с пострадавшими",311
"67. Республика Алтай","3_1","Количество лиц, погибших в результате ДТП",35
"67. Республика Алтай","3_1","Количество лиц, получивших ранения в результате совершения ДТП",400
"67. Республика Алтай","3_1","Число погибших на 100 пострадавших","8.045977011"
"69. Республика Тыва","3_1","Количество ДТП с пострадавшими",413
"69. Республика Тыва","3_1","Количество лиц, погибших в результате ДТП",75
"69. Республика Тыва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",559
"69. Республика Тыва","3_1","Число погибших на 100 пострадавших","11.829653"
"70. Республика Хакасия","3_1","Количество ДТП с пострадавшими",418
"70. Республика Хакасия","3_1","Количество лиц, погибших в результате ДТП",41
"70. Республика Хакасия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",522
"70. Республика Хакасия","3_1","Число погибших на 100 пострадавших","7.282415631"
"71. Алтайский край","3_1","Количество ДТП с пострадавшими",1848
"71. Алтайский край","3_1","Количество лиц, погибших в результате ДТП",175
"71. Алтайский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2420
"71. Алтайский край","3_1","Число погибших на 100 пострадавших","6.743737958"
"72. Красноярский край","3_1","Количество ДТП с пострадавшими",2599
"72. Красноярский край","3_1","Количество лиц, погибших в результате ДТП",240
"72. Красноярский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3112
"72. Красноярский край","3_1","Число погибших на 100 пострадавших","7.159904535"
"73. Иркутская область","3_1","Количество ДТП с пострадавшими",1845
"73. Иркутская область","3_1","Количество лиц, погибших в результате ДТП",243
"73. Иркутская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2228
"73. Иркутская область","3_1","Число погибших на 100 пострадавших","9.834075273"
"74. Кемеровская область - Кузбасс","3_1","Количество ДТП с пострадавшими",1964
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, погибших в результате ДТП",243
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2522
"74. Кемеровская область - Кузбасс","3_1","Число погибших на 100 пострадавших","8.788426763"
"75. Новосибирская область","3_1","Количество ДТП с пострадавшими",2260
"75. Новосибирская область","3_1","Количество лиц, погибших в результате ДТП",217
"75. Новосибирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2726
"75. Новосибирская область","3_1","Число погибших на 100 пострадавших","7.373428474"
"76. Омская область","3_1","Количество ДТП с пострадавшими",2151
"76. Омская область","3_1","Количество лиц, погибших в результате ДТП",127
"76. Омская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2742
"76. Омская область","3_1","Число погибших на 100 пострадавших","4.426629488"
"77. Томская область","3_1","Количество ДТП с пострадавшими",382
"77. Томская область","3_1","Количество лиц, погибших в результате ДТП",58
"77. Томская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",424
"77. Томская область","3_1","Число погибших на 100 пострадавших","12.03319502"
"Дальневосточный фед.округ","3_1","Количество ДТП с пострадавшими",7437
