"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-февраль 2025 г.)"
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, погибших в результате ДТП",58
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",773
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Число погибших на 100 пострадавших","6,97954272"
"27.   Ленинградская область","3_1","Количество ДТП с пострадавшими",212
"27.   Ленинградская область","3_1","Количество лиц, погибших в результате ДТП",39
"27.   Ленинградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",287
"27.   Ленинградская область","3_1","Число погибших на 100 пострадавших","11,96319018"
"28.   г. Санкт-Петербург","3_1","Количество ДТП с пострадавшими",434
"28.   г. Санкт-Петербург","3_1","Количество лиц, погибших в результате ДТП",19
"28.   г. Санкт-Петербург","3_1","Количество лиц, получивших ранения в результате совершения ДТП",486
"28.   г. Санкт-Петербург","3_1","Число погибших на 100 пострадавших","3,762376238"
"29. Мурманская область","3_1","Количество ДТП с пострадавшими",104
"29. Мурманская область","3_1","Количество лиц, погибших в результате ДТП",4
"29. Мурманская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",149
"29. Мурманская область","3_1","Число погибших на 100 пострадавших","2,614379085"
"30. Новгородская  область","3_1","Количество ДТП с пострадавшими",52
"30. Новгородская  область","3_1","Количество лиц, погибших в результате ДТП",9
"30. Новгородская  область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",61
"30. Новгородская  область","3_1","Число погибших на 100 пострадавших","12,85714286"
"31. Псковская область","3_1","Количество ДТП с пострадавшими",82
"31. Псковская область","3_1","Количество лиц, погибших в результате ДТП",6
"31. Псковская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",106
"31. Псковская область","3_1","Число погибших на 100 пострадавших","5,357142857"
"Северо-Кавказский фед.округ","3_1","Количество ДТП с пострадавшими",800
"Северо-Кавказский фед.округ","3_1","Количество лиц, погибших в результате ДТП",127
"Северо-Кавказский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1116
"Северо-Кавказский фед.округ","3_1","Число погибших на 100 пострадавших","10,21721641"
"32. Ставропольский край","3_1","Количество ДТП с пострадавшими",279
"32. Ставропольский край","3_1","Количество лиц, погибших в результате ДТП",45
