"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - сентябрь 2024 г.)"
"Тюменская область (с а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4205
"Тюменская область (с а/о)","3_1","Число погибших на 100 пострадавших","5,207394049"
"  Тюменская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",2177
"  Тюменская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",130
"  Тюменская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2821
"  Тюменская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","4,405286344"
"  Ханты-Мансийский АО - Югра","3_1","Количество ДТП с пострадавшими",804
"  Ханты-Мансийский АО - Югра","3_1","Количество лиц, погибших в результате ДТП",77
"  Ханты-Мансийский АО - Югра","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1136
"  Ханты-Мансийский АО - Югра","3_1","Число погибших на 100 пострадавших","6,347897774"
"  Ямало-Ненецкий АО","3_1","Количество ДТП с пострадавшими",218
"  Ямало-Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",24
"  Ямало-Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",248
"  Ямало-Ненецкий АО","3_1","Число погибших на 100 пострадавших","8,823529412"
"Челябинская область","3_1","Количество ДТП с пострадавшими",2524
"Челябинская область","3_1","Количество лиц, погибших в результате ДТП",245
"Челябинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3113
"Челябинская область","3_1","Число погибших на 100 пострадавших","7,296009529"
"Сибирский фед.округ","3_1","Количество ДТП с пострадавшими",12403
"Сибирский фед.округ","3_1","Количество лиц, погибших в результате ДТП",1254
"Сибирский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",15528
"Сибирский фед.округ","3_1","Число погибших на 100 пострадавших","7,472291741"
"Республика Алтай","3_1","Количество ДТП с пострадавшими",272
"Республика Алтай","3_1","Количество лиц, погибших в результате ДТП",33
"Республика Алтай","3_1","Количество лиц, получивших ранения в результате совершения ДТП",354
"Республика Алтай","3_1","Число погибших на 100 пострадавших","8,527131783"
"Республика Тыва","3_1","Количество ДТП с пострадавшими",355
"Республика Тыва","3_1","Количество лиц, погибших в результате ДТП",60
"Республика Тыва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",482
"Республика Тыва","3_1","Число погибших на 100 пострадавших","11,0701107"
"Республика Хакасия","3_1","Количество ДТП с пострадавшими",363
"Республика Хакасия","3_1","Количество лиц, погибших в результате ДТП",36
"Республика Хакасия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",464
"Республика Хакасия","3_1","Число погибших на 100 пострадавших","7,2"
"Алтайский край","3_1","Количество ДТП с пострадавшими",1637
"Алтайский край","3_1","Количество лиц, погибших в результате ДТП",156
"Алтайский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2159
"Алтайский край","3_1","Число погибших на 100 пострадавших","6,738660907"
"Красноярский край","3_1","Количество ДТП с пострадавшими",2290
"Красноярский край","3_1","Количество лиц, погибших в результате ДТП",214
"Красноярский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2753
"Красноярский край","3_1","Число погибших на 100 пострадавших","7,212672733"
"Иркутская область","3_1","Количество ДТП с пострадавшими",1602
"Иркутская область","3_1","Количество лиц, погибших в результате ДТП",210
"Иркутская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1940
"Иркутская область","3_1","Число погибших на 100 пострадавших","9,76744186"
"Кемеровская область - Кузбасс","3_1","Количество ДТП с пострадавшими",1749
"Кемеровская область - Кузбасс","3_1","Количество лиц, погибших в результате ДТП",209
"Кемеровская область - Кузбасс","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2268
"Кемеровская область - Кузбасс","3_1","Число погибших на 100 пострадавших","8,437626161"
"Новосибирская область","3_1","Количество ДТП с пострадавшими",1921
"Новосибирская область","3_1","Количество лиц, погибших в результате ДТП",184
"Новосибирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2329
"Новосибирская область","3_1","Число погибших на 100 пострадавших","7,321925985"
"Омская область","3_1","Количество ДТП с пострадавшими",1894
"Омская область","3_1","Количество лиц, погибших в результате ДТП",107
"Омская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2415
