"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - декабрь 2024 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"16. Тверская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","12,50263597"
"16. Тверская область","3_1","Число погибших на 10 тыс. транспортных средств","2,36259539"
"17. Тульская область","3_1","Количество ДТП с пострадавшими",1686
"17. Тульская область","3_1","Количество лиц, погибших в результате ДТП",161
"17. Тульская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2111
"17. Тульская область","3_1","Число погибших на 100 пострадавших","7,086267606"
"17. Тульская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","10,94389385"
"17. Тульская область","3_1","Число погибших на 10 тыс. транспортных средств","2,132368426"
"18. Ярославская область","3_1","Количество ДТП с пострадавшими",1388
"18. Ярославская область","3_1","Количество лиц, погибших в результате ДТП",161
"18. Ярославская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1782
"18. Ярославская область","3_1","Число погибших на 100 пострадавших","8,28615543"
"18. Ярославская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","13,55723257"
"18. Ярославская область","3_1","Число погибших на 10 тыс. транспортных средств","3,384301047"
"Северо-Западный фед.округ","3_1","Количество ДТП с пострадавшими",12572
"Северо-Западный фед.округ","3_1","Количество лиц, погибших в результате ДТП",1086
"Северо-Западный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",15092
"Северо-Западный фед.округ","3_1","Число погибших на 100 пострадавших","6,712819879"
"Северо-Западный фед.округ","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","7,846621242"
"Северо-Западный фед.округ","3_1","Число погибших на 10 тыс. транспортных средств","1,785277184"
"19. Республика Карелия","3_1","Количество ДТП с пострадавшими",747
"19. Республика Карелия","3_1","Количество лиц, погибших в результате ДТП",83
"19. Республика Карелия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",973
"19. Республика Карелия","3_1","Число погибших на 100 пострадавших","7,859848485"
"19. Республика Карелия","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","15,84404875"
"19. Республика Карелия","3_1","Число погибших на 10 тыс. транспортных средств","2,610900352"
"20. Республика Коми","3_1","Количество ДТП с пострадавшими",857
"20. Республика Коми","3_1","Количество лиц, погибших в результате ДТП",61
"20. Республика Коми","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1123
"20. Республика Коми","3_1","Число погибших на 100 пострадавших","5,152027027"
"20. Республика Коми","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","8,465050443"
"20. Республика Коми","3_1","Число погибших на 10 тыс. транспортных средств","1,932428366"
"21. Архангельская обл. (с АО )","3_1","Количество ДТП с пострадавшими",729
"21. Архангельская обл. (с АО )","3_1","Количество лиц, погибших в результате ДТП",77
"21. Архангельская обл. (с АО )","3_1","Количество лиц, получивших ранения в результате совершения ДТП",870
"21. Архангельская обл. (с АО )","3_1","Число погибших на 100 пострадавших","8,13093981"
"21. Архангельская обл. (с АО )","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","7,714874278"
"21. Архангельская обл. (с АО )","3_1","Число погибших на 10 тыс. транспортных средств","1,756779572"
"22.   Архангельская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",709
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",76
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",848
"22.   Архангельская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","8,225108225"
"22.   Архангельская обл. (без а/о)","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","7,951054979"
"22.   Архангельская обл. (без а/о)","3_1","Число погибших на 10 тыс. транспортных средств","1,804792674"
"23.   Ненецкий АО","3_1","Количество ДТП с пострадавшими",20
"23.   Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",1
"23.   Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",22
"23.   Ненецкий АО","3_1","Число погибших на 100 пострадавших","4,347826087"
"23.   Ненецкий АО","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","2,368321334"
"23.   Ненецкий АО","3_1","Число погибших на 10 тыс. транспортных средств","0,581361549"
"24. Вологодская область","3_1","Количество ДТП с пострадавшими",1320
"24. Вологодская область","3_1","Количество лиц, погибших в результате ДТП",127
"24. Вологодская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1730
"24. Вологодская область","3_1","Число погибших на 100 пострадавших","6,838987614"
"24. Вологодская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","11,32570498"
"24. Вологодская область","3_1","Число погибших на 10 тыс. транспортных средств","2,386549632"
"25. Калининградская область","3_1","Количество ДТП с пострадавшими",1056
"25. Калининградская область","3_1","Количество лиц, погибших в результате ДТП",75
"25. Калининградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1217
"25. Калининградская область","3_1","Число погибших на 100 пострадавших","5,80495356"
"25. Калининградская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","7,253988243"
"25. Калининградская область","3_1","Число погибших на 10 тыс. транспортных средств","1,279994539"
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество ДТП с пострадавшими",5758
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, погибших в результате ДТП",457
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",6461
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Число погибших на 100 пострадавших","6,605955478"
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","5,986749241"
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Число погибших на 10 тыс. транспортных средств","1,550108881"
"27.   Ленинградская область","3_1","Количество ДТП с пострадавшими",1745
"27.   Ленинградская область","3_1","Количество лиц, погибших в результате ДТП",309
"27.   Ленинградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2085
"27.   Ленинградская область","3_1","Число погибших на 100 пострадавших","12,90726817"
"27.   Ленинградская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","15,1785916"
"27.   Ленинградская область","3_1","Число погибших на 10 тыс. транспортных средств","3,900333232"
"28.   г. Санкт-Петербург","3_1","Количество ДТП с пострадавшими",4013
"28.   г. Санкт-Петербург","3_1","Количество лиц, погибших в результате ДТП",148
"28.   г. Санкт-Петербург","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4376
"28.   г. Санкт-Петербург","3_1","Число погибших на 100 пострадавших","3,271441202"
"28.   г. Санкт-Петербург","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","2,643913292"
"28.   г. Санкт-Петербург","3_1","Число погибших на 10 тыс. транспортных средств","0,686475505"
"29. Мурманская область","3_1","Количество ДТП с пострадавшими",637
"29. Мурманская область","3_1","Количество лиц, погибших в результате ДТП",42
"29. Мурманская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",864
"29. Мурманская область","3_1","Число погибших на 100 пострадавших","4,635761589"
"29. Мурманская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","6,398167077"
"29. Мурманская область","3_1","Число погибших на 10 тыс. транспортных средств","1,254525252"
"30. Новгородская  область","3_1","Количество ДТП с пострадавшими",696
"30. Новгородская  область","3_1","Количество лиц, погибших в результате ДТП",64
"30. Новгородская  область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",835
"30. Новгородская  область","3_1","Число погибших на 100 пострадавших","7,119021135"
"30. Новгородская  область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","11,19963881"
"30. Новгородская  область","3_1","Число погибших на 10 тыс. транспортных средств","2,387213488"
"31. Псковская область","3_1","Количество ДТП с пострадавшими",772
"31. Псковская область","3_1","Количество лиц, погибших в результате ДТП",100
"31. Псковская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1019
"31. Псковская область","3_1","Число погибших на 100 пострадавших","8,936550492"
"31. Псковская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","17,20735029"
"31. Псковская область","3_1","Число погибших на 10 тыс. транспортных средств","2,923361164"
"Северо-Кавказский фед.округ","3_1","Количество ДТП с пострадавшими",6495
"Северо-Кавказский фед.округ","3_1","Количество лиц, погибших в результате ДТП",1040
