"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-ноябрь 2024 года)"
"Северо-Кавказский фед.округ","3_1","Количество ДТП с пострадавшими",5864
"Северо-Кавказский фед.округ","3_1","Количество лиц, погибших в результате ДТП",957
"Северо-Кавказский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",7741
"Северо-Кавказский фед.округ","3_1","Число погибших на 100 пострадавших","11.00252932"
"32. Ставропольский край","3_1","Количество ДТП с пострадавшими",2265
"32. Ставропольский край","3_1","Количество лиц, погибших в результате ДТП",324
"32. Ставропольский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2824
"32. Ставропольский край","3_1","Число погибших на 100 пострадавших","10.29224905"
"33. Республика Ингушетия","3_1","Количество ДТП с пострадавшими",182
"33. Республика Ингушетия","3_1","Количество лиц, погибших в результате ДТП",59
"33. Республика Ингушетия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",283
"33. Республика Ингушетия","3_1","Число погибших на 100 пострадавших","17.25146199"
"34. Республика Дагестан","3_1","Количество ДТП с пострадавшими",1538
"34. Республика Дагестан","3_1","Количество лиц, погибших в результате ДТП",291
"34. Республика Дагестан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2209
"34. Республика Дагестан","3_1","Число погибших на 100 пострадавших",11.64
"35. Кабардино-Балкарская Респ.","3_1","Количество ДТП с пострадавшими",608
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, погибших в результате ДТП",118
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",707
"35. Кабардино-Балкарская Респ.","3_1","Число погибших на 100 пострадавших","14.3030303"
"36. Респ. Сев.Осетия - Алания","3_1","Количество ДТП с пострадавшими",816
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, погибших в результате ДТП",67
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1150
"36. Респ. Сев.Осетия - Алания","3_1","Число погибших на 100 пострадавших","5.505341002"
"37. Карачаево-Черкесская Респ.","3_1","Количество ДТП с пострадавшими",314
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, погибших в результате ДТП",59
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",366
"37. Карачаево-Черкесская Респ.","3_1","Число погибших на 100 пострадавших","13.88235294"
"38. Чеченская Республика","3_1","Количество ДТП с пострадавшими",141
"38. Чеченская Республика","3_1","Количество лиц, погибших в результате ДТП",39
"38. Чеченская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",202
"38. Чеченская Республика","3_1","Число погибших на 100 пострадавших","16.18257261"
"39. Южный фед.округ","3_1","Количество ДТП с пострадавшими",13731
"39. Южный фед.округ","3_1","Количество лиц, погибших в результате ДТП",1859
"39. Южный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",16986
"39. Южный фед.округ","3_1","Число погибших на 100 пострадавших","9.864685593"
"40. Краснодарский край","3_1","Количество ДТП с пострадавшими",5569
"40. Краснодарский край","3_1","Количество лиц, погибших в результате ДТП",717
"40. Краснодарский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",6842
"40. Краснодарский край","3_1","Число погибших на 100 пострадавших","9.485381664"
"41. Астраханская область","3_1","Количество ДТП с пострадавшими",842
"41. Астраханская область","3_1","Количество лиц, погибших в результате ДТП",73
"41. Астраханская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1037
"41. Астраханская область","3_1","Число погибших на 100 пострадавших","6.576576577"
"42. Волгоградская область","3_1","Количество ДТП с пострадавшими",2229
"42. Волгоградская область","3_1","Количество лиц, погибших в результате ДТП",242
"42. Волгоградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2882
"42. Волгоградская область","3_1","Число погибших на 100 пострадавших","7.746478873"
"43. Ростовская область","3_1","Количество ДТП с пострадавшими",2586
"43. Ростовская область","3_1","Количество лиц, погибших в результате ДТП",452
