Субъект,Пункт ФПСР,Наименование статистического показателя,Значение статистического показателя (за январь - июнь 2023 г.)
Subject,Point FPSR,Name of the statistical factor,Importance of the statistical factor
Республика Марий Эл,3_1,"Количество лиц, погибших в результате ДТП",21
Республика Марий Эл,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",322
Республика Марий Эл,3_1,Число погибших на 100 пострадавших,"6,12244898"
Республика Мордовия,3_1,Количество ДТП с пострадавшими,243
Республика Мордовия,3_1,"Количество лиц, погибших в результате ДТП",53
Республика Мордовия,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",302
Республика Мордовия,3_1,Число погибших на 100 пострадавших,"14,92957746"
Республика Татарстан,3_1,Количество ДТП с пострадавшими,1510
Республика Татарстан,3_1,"Количество лиц, погибших в результате ДТП",114
Республика Татарстан,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1826
Республика Татарстан,3_1,Число погибших на 100 пострадавших,"5,87628866"
Удмуртская Республика,3_1,Количество ДТП с пострадавшими,578
Удмуртская Республика,3_1,"Количество лиц, погибших в результате ДТП",60
Удмуртская Республика,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",671
Удмуртская Республика,3_1,Число погибших на 100 пострадавших,"8,207934337"
Чувашская Республика,3_1,Количество ДТП с пострадавшими,395
Чувашская Республика,3_1,"Количество лиц, погибших в результате ДТП",48
Чувашская Республика,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",536
Чувашская Республика,3_1,Число погибших на 100 пострадавших,"8,219178082"
Кировская область,3_1,Количество ДТП с пострадавшими,656
Кировская область,3_1,"Количество лиц, погибших в результате ДТП",59
Кировская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",868
Кировская область,3_1,Число погибших на 100 пострадавших,"6,364617044"
Нижегородская область,3_1,Количество ДТП с пострадавшими,1887
Нижегородская область,3_1,"Количество лиц, погибших в результате ДТП",133
Нижегородская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",2430
Нижегородская область,3_1,Число погибших на 100 пострадавших,"5,189231369"
Оренбургская область,3_1,Количество ДТП с пострадавшими,559
Оренбургская область,3_1,"Количество лиц, погибших в результате ДТП",97
Оренбургская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",695
Оренбургская область,3_1,Число погибших на 100 пострадавших,"12,24747475"
Пензенская область,3_1,Количество ДТП с пострадавшими,627
Пензенская область,3_1,"Количество лиц, погибших в результате ДТП",65
Пензенская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",905
Пензенская область,3_1,Число погибших на 100 пострадавших,"6,701030928"
Пермский край,3_1,Количество ДТП с пострадавшими,871
Пермский край,3_1,"Количество лиц, погибших в результате ДТП",87
Пермский край,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1084
Пермский край,3_1,Число погибших на 100 пострадавших,"7,429547395"
Самарская область,3_1,Количество ДТП с пострадавшими,1333
Самарская область,3_1,"Количество лиц, погибших в результате ДТП",132
Самарская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1736
Самарская область,3_1,Число погибших на 100 пострадавших,"7,066381156"
Саратовская область,3_1,Количество ДТП с пострадавшими,1078
Саратовская область,3_1,"Количество лиц, погибших в результате ДТП",110
Саратовская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1440
Саратовская область,3_1,Число погибших на 100 пострадавших,"7,096774194"
Ульяновская область,3_1,Количество ДТП с пострадавшими,434
Ульяновская область,3_1,"Количество лиц, погибших в результате ДТП",37
Ульяновская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",567
Ульяновская область,3_1,Число погибших на 100 пострадавших,"6,125827815"
Уральский фед.округ,3_1,Количество ДТП с пострадавшими,5054
Уральский фед.округ,3_1,"Количество лиц, погибших в результате ДТП",454
Уральский фед.округ,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",6400
Уральский фед.округ,3_1,Число погибших на 100 пострадавших,"6,623869273"
Курганская область,3_1,Количество ДТП с пострадавшими,342
Курганская область,3_1,"Количество лиц, погибших в результате ДТП",52
Курганская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",432
Курганская область,3_1,Число погибших на 100 пострадавших,"10,74380165"
Свердловская область,3_1,Количество ДТП с пострадавшими,1287
Свердловская область,3_1,"Количество лиц, погибших в результате ДТП",114
Свердловская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1631
Свердловская область,3_1,Число погибших на 100 пострадавших,"6,532951289"
Тюменская область (с а/о),3_1,Количество ДТП с пострадавшими,1926
Тюменская область (с а/о),3_1,"Количество лиц, погибших в результате ДТП",157
Тюменская область (с а/о),3_1,"Количество лиц, получивших ранения в результате совершения ДТП",2512
Тюменская область (с а/о),3_1,Число погибших на 100 пострадавших,"5,882352941"
  Тюменская обл. (без а/о),3_1,Количество ДТП с пострадавшими,1289
  Тюменская обл. (без а/о),3_1,"Количество лиц, погибших в результате ДТП",81
  Тюменская обл. (без а/о),3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1666
  Тюменская обл. (без а/о),3_1,Число погибших на 100 пострадавших,"4,636519748"
  Ханты-Мансийский АО - Югра,3_1,Количество ДТП с пострадавшими,530
  Ханты-Мансийский АО - Югра,3_1,"Количество лиц, погибших в результате ДТП",60
  Ханты-Мансийский АО - Югра,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",718
  Ханты-Мансийский АО - Югра,3_1,Число погибших на 100 пострадавших,"7,712082262"
  Ямало-Ненецкий АО,3_1,Количество ДТП с пострадавшими,107
  Ямало-Ненецкий АО,3_1,"Количество лиц, погибших в результате ДТП",16
  Ямало-Ненецкий АО,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",128
  Ямало-Ненецкий АО,3_1,Число погибших на 100 пострадавших,"11,11111111"
Челябинская область,3_1,Количество ДТП с пострадавшими,1499
Челябинская область,3_1,"Количество лиц, погибших в результате ДТП",131
Челябинская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1825
Челябинская область,3_1,Число погибших на 100 пострадавших,"6,697341513"
Сибирский фед.округ,3_1,Количество ДТП с пострадавшими,6982
Сибирский фед.округ,3_1,"Количество лиц, погибших в результате ДТП",738
Сибирский фед.округ,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",8921
Сибирский фед.округ,3_1,Число погибших на 100 пострадавших,"7,640542499"
Республика Алтай,3_1,Количество ДТП с пострадавшими,117
Республика Алтай,3_1,"Количество лиц, погибших в результате ДТП",14
Республика Алтай,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",144
Республика Алтай,3_1,Число погибших на 100 пострадавших,"8,860759494"
Республика Тыва,3_1,Количество ДТП с пострадавшими,229
Республика Тыва,3_1,"Количество лиц, погибших в результате ДТП",42
Республика Тыва,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",319
Республика Тыва,3_1,Число погибших на 100 пострадавших,"11,63434903"
Республика Хакасия,3_1,Количество ДТП с пострадавшими,185
Республика Хакасия,3_1,"Количество лиц, погибших в результате ДТП",24
Республика Хакасия,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",216
Республика Хакасия,3_1,Число погибших на 100 пострадавших,10
Алтайский край,3_1,Количество ДТП с пострадавшими,897
Алтайский край,3_1,"Количество лиц, погибших в результате ДТП",86
Алтайский край,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1133
Алтайский край,3_1,Число погибших на 100 пострадавших,"7,054963084"
Красноярский край,3_1,Количество ДТП с пострадавшими,1202
Красноярский край,3_1,"Количество лиц, погибших в результате ДТП",113
Красноярский край,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1515
Красноярский край,3_1,Число погибших на 100 пострадавших,"6,941031941"
Иркутская область,3_1,Количество ДТП с пострадавшими,1000
Иркутская область,3_1,"Количество лиц, погибших в результате ДТП",121
Иркутская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1302
Иркутская область,3_1,Число погибших на 100 пострадавших,"8,503162333"
Кемеровская область - Кузбасс,3_1,Количество ДТП с пострадавшими,1036
Кемеровская область - Кузбасс,3_1,"Количество лиц, погибших в результате ДТП",119
Кемеровская область - Кузбасс,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1351
Кемеровская область - Кузбасс,3_1,Число погибших на 100 пострадавших,"8,095238095"
Новосибирская область,3_1,Количество ДТП с пострадавшими,938
Новосибирская область,3_1,"Количество лиц, погибших в результате ДТП",112
Новосибирская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1155
Новосибирская область,3_1,Число погибших на 100 пострадавших,"8,839779006"
Омская область,3_1,Количество ДТП с пострадавшими,1216
Омская область,3_1,"Количество лиц, погибших в результате ДТП",83
Омская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1594
Омская область,3_1,Число погибших на 100 пострадавших,"4,949314252"
Томская область,3_1,Количество ДТП с пострадавшими,162
Томская область,3_1,"Количество лиц, погибших в результате ДТП",24
Томская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",192
Томская область,3_1,Число погибших на 100 пострадавших,"11,11111111"
Дальневосточный фед.округ,3_1,Количество ДТП с пострадавшими,3806
Дальневосточный фед.округ,3_1,"Количество лиц, погибших в результате ДТП",438
Дальневосточный фед.округ,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",4908
Дальневосточный фед.округ,3_1,Число погибших на 100 пострадавших,"8,193041526"
Республика Бурятия,3_1,Количество ДТП с пострадавшими,451
Республика Бурятия,3_1,"Количество лиц, погибших в результате ДТП",53
Республика Бурятия,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",581
Республика Бурятия,3_1,Число погибших на 100 пострадавших,"8,359621451"
Республика Саха (Якутия),3_1,Количество ДТП с пострадавшими,334
Республика Саха (Якутия),3_1,"Количество лиц, погибших в результате ДТП",31
Республика Саха (Якутия),3_1,"Количество лиц, получивших ранения в результате совершения ДТП",432
Республика Саха (Якутия),3_1,Число погибших на 100 пострадавших,"6,695464363"
Забайкальский край,3_1,Количество ДТП с пострадавшими,424
Забайкальский край,3_1,"Количество лиц, погибших в результате ДТП",83
Забайкальский край,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",509
Забайкальский край,3_1,Число погибших на 100 пострадавших,"14,02027027"
Приморский край,3_1,Количество ДТП с пострадавшими,1042
Приморский край,3_1,"Количество лиц, погибших в результате ДТП",93
Приморский край,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1322
Приморский край,3_1,Число погибших на 100 пострадавших,"6,572438163"
Хабаровский край,3_1,Количество ДТП с пострадавшими,568
Хабаровский край,3_1,"Количество лиц, погибших в результате ДТП",62
Хабаровский край,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",687
Хабаровский край,3_1,Число погибших на 100 пострадавших,"8,277703605"
Камчатский край,3_1,Количество ДТП с пострадавшими,141
Камчатский край,3_1,"Количество лиц, погибших в результате ДТП",17
Камчатский край,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",185
Камчатский край,3_1,Число погибших на 100 пострадавших,"8,415841584"
Амурская область,3_1,Количество ДТП с пострадавшими,514
Амурская область,3_1,"Количество лиц, погибших в результате ДТП",44
Амурская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",740
Амурская область,3_1,Число погибших на 100 пострадавших,"5,612244898"
Магаданская область,3_1,Количество ДТП с пострадавшими,76
Магаданская область,3_1,"Количество лиц, погибших в результате ДТП",6
Магаданская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",101
Магаданская область,3_1,Число погибших на 100 пострадавших,"5,607476636"
Сахалинская область,3_1,Количество ДТП с пострадавшими,161
Сахалинская область,3_1,"Количество лиц, погибших в результате ДТП",36
Сахалинская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",216
Сахалинская область,3_1,Число погибших на 100 пострадавших,"14,28571429"
Еврейская АО,3_1,Количество ДТП с пострадавшими,88
Еврейская АО,3_1,"Количество лиц, погибших в результате ДТП",13
