"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - август 2024 г.)"
"Ставропольский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1945
"Ставропольский край","3_1","Число погибших на 100 пострадавших","10,77981651"
"Республика Ингушетия","3_1","Количество ДТП с пострадавшими",113
"Республика Ингушетия","3_1","Количество лиц, погибших в результате ДТП",36
"Республика Ингушетия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",187
"Республика Ингушетия","3_1","Число погибших на 100 пострадавших","16,14349776"
"Республика Дагестан","3_1","Количество ДТП с пострадавшими",1070
"Республика Дагестан","3_1","Количество лиц, погибших в результате ДТП",210
"Республика Дагестан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1551
"Республика Дагестан","3_1","Число погибших на 100 пострадавших","11,92504259"
"Кабардино-Балкарская Респ.","3_1","Количество ДТП с пострадавшими",419
"Кабардино-Балкарская Респ.","3_1","Количество лиц, погибших в результате ДТП",87
"Кабардино-Балкарская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",479
"Кабардино-Балкарская Респ.","3_1","Число погибших на 100 пострадавших","15,37102473"
"Респ. Сев.Осетия - Алания","3_1","Количество ДТП с пострадавшими",538
"Респ. Сев.Осетия - Алания","3_1","Количество лиц, погибших в результате ДТП",38
"Респ. Сев.Осетия - Алания","3_1","Количество лиц, получивших ранения в результате совершения ДТП",776
"Респ. Сев.Осетия - Алания","3_1","Число погибших на 100 пострадавших","4,668304668"
"Карачаево-Черкесская Респ.","3_1","Количество ДТП с пострадавшими",216
"Карачаево-Черкесская Респ.","3_1","Количество лиц, погибших в результате ДТП",42
"Карачаево-Черкесская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",263
"Карачаево-Черкесская Респ.","3_1","Число погибших на 100 пострадавших","13,7704918"
"Чеченская Республика","3_1","Количество ДТП с пострадавшими",78
"Чеченская Республика","3_1","Количество лиц, погибших в результате ДТП",26
"Чеченская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",105
"Чеченская Республика","3_1","Число погибших на 100 пострадавших","19,84732824"
"Южный фед.округ","3_1","Количество ДТП с пострадавшими",9656
"Южный фед.округ","3_1","Количество лиц, погибших в результате ДТП",1288
"Южный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",11988
"Южный фед.округ","3_1","Число погибших на 100 пострадавших","9,701717385"
"Краснодарский край","3_1","Количество ДТП с пострадавшими",3873
"Краснодарский край","3_1","Количество лиц, погибших в результате ДТП",501
"Краснодарский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4785
"Краснодарский край","3_1","Число погибших на 100 пострадавших","9,477866061"
"Астраханская область","3_1","Количество ДТП с пострадавшими",600
"Астраханская область","3_1","Количество лиц, погибших в результате ДТП",46
"Астраханская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",740
"Астраханская область","3_1","Число погибших на 100 пострадавших","5,852417303"
"Волгоградская область","3_1","Количество ДТП с пострадавшими",1563
"Волгоградская область","3_1","Количество лиц, погибших в результате ДТП",156
"Волгоградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2057
"Волгоградская область","3_1","Число погибших на 100 пострадавших","7,049254406"
"Ростовская область","3_1","Количество ДТП с пострадавшими",1852
"Ростовская область","3_1","Количество лиц, погибших в результате ДТП",328
"Ростовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2198
"Ростовская область","3_1","Число погибших на 100 пострадавших","12,98495645"
"Республика Адыгея","3_1","Количество ДТП с пострадавшими",281
"Республика Адыгея","3_1","Количество лиц, погибших в результате ДТП",55
"Республика Адыгея","3_1","Количество лиц, получивших ранения в результате совершения ДТП",320
"Республика Адыгея","3_1","Число погибших на 100 пострадавших","14,66666667"
"Республика Калмыкия","3_1","Количество ДТП с пострадавшими",374
