"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-май 2025 г.)"
"27.   Ленинградская область","3_1","Число погибших на 100 пострадавших","13,16872428"
"28.   г. Санкт-Петербург","3_1","Количество ДТП с пострадавшими",1180
"28.   г. Санкт-Петербург","3_1","Количество лиц, погибших в результате ДТП",48
"28.   г. Санкт-Петербург","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1300
"28.   г. Санкт-Петербург","3_1","Число погибших на 100 пострадавших","3,560830861"
"29. Мурманская область","3_1","Количество ДТП с пострадавшими",211
"29. Мурманская область","3_1","Количество лиц, погибших в результате ДТП",15
"29. Мурманская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",287
"29. Мурманская область","3_1","Число погибших на 100 пострадавших","4,966887417"
"30. Новгородская  область","3_1","Количество ДТП с пострадавшими",189
"30. Новгородская  область","3_1","Количество лиц, погибших в результате ДТП",27
"30. Новгородская  область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",211
"30. Новгородская  область","3_1","Число погибших на 100 пострадавших","11,34453782"
"31. Псковская область","3_1","Количество ДТП с пострадавшими",225
"31. Псковская область","3_1","Количество лиц, погибших в результате ДТП",24
"31. Псковская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",286
"31. Псковская область","3_1","Число погибших на 100 пострадавших","7,741935484"
"Северо-Кавказский фед.округ","3_1","Количество ДТП с пострадавшими",2192
"Северо-Кавказский фед.округ","3_1","Количество лиц, погибших в результате ДТП",331
"Северо-Кавказский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2938
"Северо-Кавказский фед.округ","3_1","Число погибших на 100 пострадавших","10,12542062"
"32. Ставропольский край","3_1","Количество ДТП с пострадавшими",858
"32. Ставропольский край","3_1","Количество лиц, погибших в результате ДТП",111
"32. Ставропольский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1086
"32. Ставропольский край","3_1","Число погибших на 100 пострадавших","9,273182957"
"33. Республика Ингушетия","3_1","Количество ДТП с пострадавшими",107
"33. Республика Ингушетия","3_1","Количество лиц, погибших в результате ДТП",15
"33. Республика Ингушетия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",160
"33. Республика Ингушетия","3_1","Число погибших на 100 пострадавших","8,571428571"
"34. Республика Дагестан","3_1","Количество ДТП с пострадавшими",505
"34. Республика Дагестан","3_1","Количество лиц, погибших в результате ДТП",115
"34. Республика Дагестан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",693
"34. Республика Дагестан","3_1","Число погибших на 100 пострадавших","14,23267327"
"35. Кабардино-Балкарская Респ.","3_1","Количество ДТП с пострадавшими",212
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, погибших в результате ДТП",29
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",266
"35. Кабардино-Балкарская Респ.","3_1","Число погибших на 100 пострадавших","9,830508475"
"36. Респ. Сев.Осетия - Алания","3_1","Количество ДТП с пострадавшими",308
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, погибших в результате ДТП",26
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, получивших ранения в результате совершения ДТП",467
"36. Респ. Сев.Осетия - Алания","3_1","Число погибших на 100 пострадавших","5,273833671"
"37. Карачаево-Черкесская Респ.","3_1","Количество ДТП с пострадавшими",147
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, погибших в результате ДТП",20
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",189
"37. Карачаево-Черкесская Респ.","3_1","Число погибших на 100 пострадавших","9,56937799"
"38. Чеченская Республика","3_1","Количество ДТП с пострадавшими",55
"38. Чеченская Республика","3_1","Количество лиц, погибших в результате ДТП",15
"38. Чеченская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",77
"38. Чеченская Республика","3_1","Число погибших на 100 пострадавших","16,30434783"
"39. Южный фед.округ","3_1","Количество ДТП с пострадавшими",4999
"39. Южный фед.округ","3_1","Количество лиц, погибших в результате ДТП",669
"39. Южный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",6143
"39. Южный фед.округ","3_1","Число погибших на 100 пострадавших","9,820904287"
"40. Краснодарский край","3_1","Количество ДТП с пострадавшими",1997
"40. Краснодарский край","3_1","Количество лиц, погибших в результате ДТП",267
"40. Краснодарский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2370
"40. Краснодарский край","3_1","Число погибших на 100 пострадавших","10,12514221"
"41. Астраханская область","3_1","Количество ДТП с пострадавшими",402
"41. Астраханская область","3_1","Количество лиц, погибших в результате ДТП",34
"41. Астраханская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",510
"41. Астраханская область","3_1","Число погибших на 100 пострадавших","6,25"
"42. Волгоградская область","3_1","Количество ДТП с пострадавшими",837
"42. Волгоградская область","3_1","Количество лиц, погибших в результате ДТП",92
"42. Волгоградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1084
"42. Волгоградская область","3_1","Число погибших на 100 пострадавших","7,823129252"
"43. Ростовская область","3_1","Количество ДТП с пострадавшими",935
"43. Ростовская область","3_1","Количество лиц, погибших в результате ДТП",151
"43. Ростовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1100
"43. Ростовская область","3_1","Число погибших на 100 пострадавших","12,07034373"
"44. Республика Адыгея","3_1","Количество ДТП с пострадавшими",142
"44. Республика Адыгея","3_1","Количество лиц, погибших в результате ДТП",14
