"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-июль 2024 г.)"
"51. Чувашская Республика","3_1","Количество лиц, погибших в результате ДТП",55
"51. Чувашская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",544
"51. Чувашская Республика","3_1","Число погибших на 100 пострадавших","9,18196995"
"52. Кировская область","3_1","Количество ДТП с пострадавшими",886
"52. Кировская область","3_1","Количество лиц, погибших в результате ДТП",57
"52. Кировская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1081
"52. Кировская область","3_1","Число погибших на 100 пострадавших","5,008787346"
"53. Нижегородская область","3_1","Количество ДТП с пострадавшими",2344
"53. Нижегородская область","3_1","Количество лиц, погибших в результате ДТП",150
"53. Нижегородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2922
"53. Нижегородская область","3_1","Число погибших на 100 пострадавших","4,8828125"
"54. Оренбургская область","3_1","Количество ДТП с пострадавшими",664
"54. Оренбургская область","3_1","Количество лиц, погибших в результате ДТП",116
"54. Оренбургская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",869
"54. Оренбургская область","3_1","Число погибших на 100 пострадавших","11,77664975"
"55. Пензенская область","3_1","Количество ДТП с пострадавшими",871
"55. Пензенская область","3_1","Количество лиц, погибших в результате ДТП",102
"55. Пензенская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1203
"55. Пензенская область","3_1","Число погибших на 100 пострадавших","7,816091954"
"56. Пермский край","3_1","Количество ДТП с пострадавшими",1044
"56. Пермский край","3_1","Количество лиц, погибших в результате ДТП",111
"56. Пермский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1283
"56. Пермский край","3_1","Число погибших на 100 пострадавших","7,962697274"
"57. Самарская область","3_1","Количество ДТП с пострадавшими",1551
"57. Самарская область","3_1","Количество лиц, погибших в результате ДТП",157
"57. Самарская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2079
"57. Самарская область","3_1","Число погибших на 100 пострадавших","7,021466905"
"58. Саратовская область","3_1","Количество ДТП с пострадавшими",1355
"58. Саратовская область","3_1","Количество лиц, погибших в результате ДТП",137
"58. Саратовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1757
"58. Саратовская область","3_1","Число погибших на 100 пострадавших","7,233368532"
"59. Ульяновская область","3_1","Количество ДТП с пострадавшими",489
"59. Ульяновская область","3_1","Количество лиц, погибших в результате ДТП",50
"59. Ульяновская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",681
"59. Ульяновская область","3_1","Число погибших на 100 пострадавших","6,83994528"
"Уральский фед.округ","3_1","Количество ДТП с пострадавшими",5981
"Уральский фед.округ","3_1","Количество лиц, погибших в результате ДТП",536
"Уральский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",7574
"Уральский фед.округ","3_1","Число погибших на 100 пострадавших","6,609124538"
"60. Курганская область","3_1","Количество ДТП с пострадавшими",397
"60. Курганская область","3_1","Количество лиц, погибших в результате ДТП",45
"60. Курганская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",472
"60. Курганская область","3_1","Число погибших на 100 пострадавших","8,704061896"
"61. Свердловская область","3_1","Количество ДТП с пострадавшими",1510
"61. Свердловская область","3_1","Количество лиц, погибших в результате ДТП",167
"61. Свердловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1863
"61. Свердловская область","3_1","Число погибших на 100 пострадавших","8,226600985"
"62. Тюменская область (с а/о)","3_1","Количество ДТП с пострадавшими",2286
"62. Тюменская область (с а/о)","3_1","Количество лиц, погибших в результате ДТП",157
"62. Тюменская область (с а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3036
"62. Тюменская область (с а/о)","3_1","Число погибших на 100 пострадавших","4,917005951"
"63.   Тюменская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",1559
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",93
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2035
"63.   Тюменская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","4,370300752"
"64.   Ханты-Мансийский АО - Югра","3_1","Количество ДТП с пострадавшими",584
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, погибших в результате ДТП",47
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, получивших ранения в результате совершения ДТП",834
"64.   Ханты-Мансийский АО - Югра","3_1","Число погибших на 100 пострадавших","5,334846765"
"65.   Ямало-Ненецкий АО","3_1","Количество ДТП с пострадавшими",143
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",17
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",167
"65.   Ямало-Ненецкий АО","3_1","Число погибших на 100 пострадавших","9,239130435"
"66. Челябинская область","3_1","Количество ДТП с пострадавшими",1788
"66. Челябинская область","3_1","Количество лиц, погибших в результате ДТП",167
"66. Челябинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2203
"66. Челябинская область","3_1","Число погибших на 100 пострадавших","7,046413502"
"Сибирский фед.округ","3_1","Количество ДТП с пострадавшими",8956
"Сибирский фед.округ","3_1","Количество лиц, погибших в результате ДТП",880
"Сибирский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",11269
"Сибирский фед.округ","3_1","Число погибших на 100 пострадавших","7,243394518"
"67. Республика Алтай","3_1","Количество ДТП с пострадавшими",195
"67. Республика Алтай","3_1","Количество лиц, погибших в результате ДТП",23
"67. Республика Алтай","3_1","Количество лиц, получивших ранения в результате совершения ДТП",257
"67. Республика Алтай","3_1","Число погибших на 100 пострадавших","8,214285714"
"69. Республика Тыва","3_1","Количество ДТП с пострадавшими",253
"69. Республика Тыва","3_1","Количество лиц, погибших в результате ДТП",38
"69. Республика Тыва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",332
"69. Республика Тыва","3_1","Число погибших на 100 пострадавших","10,27027027"
"70. Республика Хакасия","3_1","Количество ДТП с пострадавшими",284
"70. Республика Хакасия","3_1","Количество лиц, погибших в результате ДТП",30
"70. Республика Хакасия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",356
"70. Республика Хакасия","3_1","Число погибших на 100 пострадавших","7,772020725"
"71. Алтайский край","3_1","Количество ДТП с пострадавшими",1207
"71. Алтайский край","3_1","Количество лиц, погибших в результате ДТП",115
"71. Алтайский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1608
"71. Алтайский край","3_1","Число погибших на 100 пострадавших","6,674405107"
"72. Красноярский край","3_1","Количество ДТП с пострадавшими",1651
