"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-июнь 2024 г.)"
"34. Республика Дагестан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1112
"34. Республика Дагестан","3_1","Число погибших на 100 пострадавших","11,60572337"
"35. Кабардино-Балкарская Респ.","3_1","Количество ДТП с пострадавшими",300
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, погибших в результате ДТП",58
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",342
"35. Кабардино-Балкарская Респ.","3_1","Число погибших на 100 пострадавших","14,5"
"36. Респ. Сев.Осетия - Алания","3_1","Количество ДТП с пострадавшими",370
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, погибших в результате ДТП",28
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, получивших ранения в результате совершения ДТП",521
"36. Респ. Сев.Осетия - Алания","3_1","Число погибших на 100 пострадавших","5,100182149"
"37. Карачаево-Черкесская Респ.","3_1","Количество ДТП с пострадавшими",158
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, погибших в результате ДТП",39
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",196
"37. Карачаево-Черкесская Респ.","3_1","Число погибших на 100 пострадавших","16,59574468"
"38. Чеченская Республика","3_1","Количество ДТП с пострадавшими",50
"38. Чеченская Республика","3_1","Количество лиц, погибших в результате ДТП",20
"38. Чеченская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",60
"38. Чеченская Республика","3_1","Число погибших на 100 пострадавших",25
"39. Южный фед.округ","3_1","Количество ДТП с пострадавшими",6626
"39. Южный фед.округ","3_1","Количество лиц, погибших в результате ДТП",863
"39. Южный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",8083
"39. Южный фед.округ","3_1","Число погибших на 100 пострадавших","9,646769506"
"40. Краснодарский край","3_1","Количество ДТП с пострадавшими",2639
"40. Краснодарский край","3_1","Количество лиц, погибших в результате ДТП",330
"40. Краснодарский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3248
"40. Краснодарский край","3_1","Число погибших на 100 пострадавших","9,223029625"
"41. Астраханская область","3_1","Количество ДТП с пострадавшими",420
"41. Астраханская область","3_1","Количество лиц, погибших в результате ДТП",33
"41. Астраханская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",512
"41. Астраханская область","3_1","Число погибших на 100 пострадавших","6,055045872"
"42. Волгоградская область","3_1","Количество ДТП с пострадавшими",1045
"42. Волгоградская область","3_1","Количество лиц, погибших в результате ДТП",94
"42. Волгоградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1332
"42. Волгоградская область","3_1","Число погибших на 100 пострадавших","6,591865358"
"43. Ростовская область","3_1","Количество ДТП с пострадавшими",1311
"43. Ростовская область","3_1","Количество лиц, погибших в результате ДТП",236
"43. Ростовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1517
"43. Ростовская область","3_1","Число погибших на 100 пострадавших","13,46263548"
"44. Республика Адыгея","3_1","Количество ДТП с пострадавшими",188
