"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - май 2024 г.)"
"Волгоградская область","3_1","Число погибших на 100 пострадавших","6,591500434"
"Ростовская область","3_1","Количество ДТП с пострадавшими",1052
"Ростовская область","3_1","Количество лиц, погибших в результате ДТП",192
"Ростовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1218
"Ростовская область","3_1","Число погибших на 100 пострадавших","13,61702128"
"Республика Адыгея","3_1","Количество ДТП с пострадавшими",139
"Республика Адыгея","3_1","Количество лиц, погибших в результате ДТП",32
"Республика Адыгея","3_1","Количество лиц, получивших ранения в результате совершения ДТП",156
"Республика Адыгея","3_1","Число погибших на 100 пострадавших","17,0212766"
"Республика Калмыкия","3_1","Количество ДТП с пострадавшими",218
"Республика Калмыкия","3_1","Количество лиц, погибших в результате ДТП",35
"Республика Калмыкия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",304
"Республика Калмыкия","3_1","Число погибших на 100 пострадавших","10,32448378"
"Республика Крым","3_1","Количество ДТП с пострадавшими",449
"Республика Крым","3_1","Количество лиц, погибших в результате ДТП",55
"Республика Крым","3_1","Количество лиц, получивших ранения в результате совершения ДТП",531
"Республика Крым","3_1","Число погибших на 100 пострадавших","9,385665529"
"г. Севастополь","3_1","Количество ДТП с пострадавшими",175
"г. Севастополь","3_1","Количество лиц, погибших в результате ДТП",11
"г. Севастополь","3_1","Количество лиц, получивших ранения в результате совершения ДТП",221
"г. Севастополь","3_1","Число погибших на 100 пострадавших","4,74137931"
"Приволжский фед.округ","3_1","Количество ДТП с пострадавшими",8784
"Приволжский фед.округ","3_1","Количество лиц, погибших в результате ДТП",924
"Приволжский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",11220
"Приволжский фед.округ","3_1","Число погибших на 100 пострадавших","7,608695652"
"Республика Башкортостан","3_1","Количество ДТП с пострадавшими",1007
"Республика Башкортостан","3_1","Количество лиц, погибших в результате ДТП",133
"Республика Башкортостан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1234
"Республика Башкортостан","3_1","Число погибших на 100 пострадавших","9,729334309"
"Республика Марий Эл","3_1","Количество ДТП с пострадавшими",207
"Республика Марий Эл","3_1","Количество лиц, погибших в результате ДТП",25
"Республика Марий Эл","3_1","Количество лиц, получивших ранения в результате совершения ДТП",251
"Республика Марий Эл","3_1","Число погибших на 100 пострадавших","9,057971014"
"Республика Мордовия","3_1","Количество ДТП с пострадавшими",164
"Республика Мордовия","3_1","Количество лиц, погибших в результате ДТП",25
"Республика Мордовия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",214
"Республика Мордовия","3_1","Число погибших на 100 пострадавших","10,46025105"
"Республика Татарстан","3_1","Количество ДТП с пострадавшими",1041
"Республика Татарстан","3_1","Количество лиц, погибших в результате ДТП",109
"Республика Татарстан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1269
"Республика Татарстан","3_1","Число погибших на 100 пострадавших","7,910014514"
"Удмуртская Республика","3_1","Количество ДТП с пострадавшими",491
"Удмуртская Республика","3_1","Количество лиц, погибших в результате ДТП",48
"Удмуртская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",608
"Удмуртская Республика","3_1","Число погибших на 100 пострадавших","7,317073171"
"Чувашская Республика","3_1","Количество ДТП с пострадавшими",249
"Чувашская Республика","3_1","Количество лиц, погибших в результате ДТП",31
"Чувашская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",346
"Чувашская Республика","3_1","Число погибших на 100 пострадавших","8,222811671"
"Кировская область","3_1","Количество ДТП с пострадавшими",499
"Кировская область","3_1","Количество лиц, погибших в результате ДТП",32
"Кировская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",613
"Кировская область","3_1","Число погибших на 100 пострадавших","4,96124031"
"Нижегородская область","3_1","Количество ДТП с пострадавшими",1391
"Нижегородская область","3_1","Количество лиц, погибших в результате ДТП",91
"Нижегородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1715
"Нижегородская область","3_1","Число погибших на 100 пострадавших","5,03875969"
"Оренбургская область","3_1","Количество ДТП с пострадавшими",428
"Оренбургская область","3_1","Количество лиц, погибших в результате ДТП",71
"Оренбургская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",575
"Оренбургская область","3_1","Число погибших на 100 пострадавших","10,99071207"
"Пензенская область","3_1","Количество ДТП с пострадавшими",537
"Пензенская область","3_1","Количество лиц, погибших в результате ДТП",58
"Пензенская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",759
"Пензенская область","3_1","Число погибших на 100 пострадавших","7,099143207"
"Пермский край","3_1","Количество ДТП с пострадавшими",634
"Пермский край","3_1","Количество лиц, погибших в результате ДТП",76
"Пермский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",759
"Пермский край","3_1","Число погибших на 100 пострадавших","9,101796407"
"Самарская область","3_1","Количество ДТП с пострадавшими",979
"Самарская область","3_1","Количество лиц, погибших в результате ДТП",96
"Самарская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1350
"Самарская область","3_1","Число погибших на 100 пострадавших","6,639004149"
"Саратовская область","3_1","Количество ДТП с пострадавшими",852
"Саратовская область","3_1","Количество лиц, погибших в результате ДТП",94
"Саратовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1108
"Саратовская область","3_1","Число погибших на 100 пострадавших","7,820299501"
"Ульяновская область","3_1","Количество ДТП с пострадавшими",305
"Ульяновская область","3_1","Количество лиц, погибших в результате ДТП",35
"Ульяновская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",419
"Ульяновская область","3_1","Число погибших на 100 пострадавших","7,709251101"
"Уральский фед.округ","3_1","Количество ДТП с пострадавшими",3835
"Уральский фед.округ","3_1","Количество лиц, погибших в результате ДТП",337
"Уральский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4891
"Уральский фед.округ","3_1","Число погибших на 100 пострадавших","6,446059679"
"Курганская область","3_1","Количество ДТП с пострадавшими",252
"Курганская область","3_1","Количество лиц, погибших в результате ДТП",29
"Курганская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",296
"Курганская область","3_1","Число погибших на 100 пострадавших","8,923076923"
"Свердловская область","3_1","Количество ДТП с пострадавшими",938
"Свердловская область","3_1","Количество лиц, погибших в результате ДТП",105
"Свердловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1191
"Свердловская область","3_1","Число погибших на 100 пострадавших","8,101851852"
"Тюменская область (с а/о)","3_1","Количество ДТП с пострадавшими",1436
"Тюменская область (с а/о)","3_1","Количество лиц, погибших в результате ДТП",112
"Тюменская область (с а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1917
"Тюменская область (с а/о)","3_1","Число погибших на 100 пострадавших","5,519960572"
"  Тюменская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",945
"  Тюменская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",58
"  Тюменская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1231
"  Тюменская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","4,499612102"
"  Ханты-Мансийский АО - Югра","3_1","Количество ДТП с пострадавшими",397
"  Ханты-Мансийский АО - Югра","3_1","Количество лиц, погибших в результате ДТП",37
"  Ханты-Мансийский АО - Югра","3_1","Количество лиц, получивших ранения в результате совершения ДТП",577
"  Ханты-Мансийский АО - Югра","3_1","Число погибших на 100 пострадавших","6,026058632"
"  Ямало-Ненецкий АО","3_1","Количество ДТП с пострадавшими",94
"  Ямало-Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",17
"  Ямало-Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",109
"  Ямало-Ненецкий АО","3_1","Число погибших на 100 пострадавших","13,49206349"
"Челябинская область","3_1","Количество ДТП с пострадавшими",1209
"Челябинская область","3_1","Количество лиц, погибших в результате ДТП",91
"Челябинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1487
"Челябинская область","3_1","Число погибших на 100 пострадавших","5,766793409"
"Сибирский фед.округ","3_1","Количество ДТП с пострадавшими",5589
"Сибирский фед.округ","3_1","Количество лиц, погибших в результате ДТП",539
"Сибирский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",6992
"Сибирский фед.округ","3_1","Число погибших на 100 пострадавших","7,157084053"
"Республика Алтай","3_1","Количество ДТП с пострадавшими",105
"Республика Алтай","3_1","Количество лиц, погибших в результате ДТП",10
"Республика Алтай","3_1","Количество лиц, получивших ранения в результате совершения ДТП",144
